rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
8,8,1,OLD,20184903,오션스8,2018-06-13,19483100,0.7,5331200,37.7,11658409066,2435,722,42.1,1330940,81,137
9,9,1,OLD,20185001,빅샤크: 매직체인지,2018-06-27,12688300,0.4,5633100,79.8,748661400,2151,1040,93.6,99831,100,112
10,10,-2,OLD,20179086,쥬라기 월드: 폴른 킹덤,2018-06-06,15720500,0.5,-105200,-0.7,49670576637,2041,64,3.2,5648970,123,183
1,1,0,OLD,20180522,앤트맨과 와스프,2018-07-04,1339303000,45.1,-335563500,-20,27935482481,163809,-40259,-19.7,3186536,1391,7544
2,2,24,OLD,20181443,스카이스크래퍼,2018-07-11,632336000,21.3,629978000,26716.6,642308000,78615,78353,29905.7,79723,808,4166
3,3,-1,OLD,20185341,마녀,2018-06-27,566881700,19.1,-109962000,-16.2,17310960471,70060,-13852,-16.5,2028560,662,2713
4,4,-1,OLD,20174369,변산,2018-07-04,134361200,4.5,-98311700,-42.3,2971768123,17607,-12015,-40.6,358686,494,1277
5,5,-1,OLD,20178161,탐정: 리턴즈,2018-06-13,59017100,2.0,-61856800,-51.2,26479126278,7697,-7683,-50,3098463,276,541
6,6,-1,OLD,20172469,허스토리,2018-06-27,35321300,1.2,-23068900,-39.5,2240421949,5092,-2841,-35.8,297509,122,173
7,7,0,NEW,20182564,"오늘 밤, 로맨스 극장에서",2018-07-11,36438800,1.2,36438800,100,77378700,4552,4552,100,9002,155,569
8,8,-2,OLD,20184845,미드나잇 선,2018-06-21,36395500,1.2,-20071100,-35.5,2000215300,4425,-2617,-37.2,236001,99,202
9,9,0,OLD,20185001,빅샤크: 매직체인지,2018-06-27,16129300,0.5,3441000,27.1,764790700,2861,710,33,102692,91,103
10,10,-3,OLD,20184721,시카리오: 데이 오브 솔다도,2018-06-27,15448200,0.5,-10569700,-40.6,1831707100,1923,-1211,-38.6,217370,66,136
1,1,0,OLD,20180522,앤트맨과 와스프,2018-07-04,1111457800,42.4,-227845200,-17,29046940281,135312,-28497,-17.4,3321848,1384,7305
2,2,0,OLD,20181443,스카이스크래퍼,2018-07-11,582087500,22.2,-50248500,-7.9,1224395500,71383,-7232,-9.2,151106,831,4129
3,3,0,OLD,20185341,마녀,2018-06-27,497275700,19.0,-69606000,-12.3,17808236171,61009,-9051,-12.9,2089569,683,2678
4,4,0,OLD,20174369,변산,2018-07-04,118842900,4.5,-15518300,-11.5,3090611023,16013,-1594,-9.1,374699,486,1151
5,5,0,OLD,20178161,탐정: 리턴즈,2018-06-13,42515100,1.6,-16502000,-28,26521641378,5547,-2150,-27.9,3104010,229,432
6,6,0,NEW,20175221,킬링 디어,2018-07-12,38695800,1.5,38695800,100,71816700,4552,4552,100,7917,62,169
7,7,-1,OLD,20172469,허스토리,2018-06-27,24838700,0.9,-10482600,-29.7,2265260649,3711,-1381,-27.1,301220,93,125
8,8,0,OLD,20184845,미드나잇 선,2018-06-21,25649700,1.0,-10745800,-29.5,2025865000,3141,-1284,-29,239142,96,168
9,9,0,OLD,20185001,빅샤크: 매직체인지,2018-06-27,17546300,0.7,1417000,8.8,782337000,3131,270,9.4,105823,72,78
10,10,-3,OLD,20182564,"오늘 밤, 로맨스 극장에서",2018-07-11,23819200,0.9,-12619600,-34.6,101197900,3019,-1533,-33.7,12021,152,543
1,1,0,OLD,20180522,앤트맨과 와스프,2018-07-04,1741328592,41.4,629870792,56.7,30788268873,194998,59686,44.1,3516846,1340,7227
2,2,0,OLD,20181443,스카이스크래퍼,2018-07-11,802736208,19.1,220648708,37.9,2027131708,90555,19172,26.9,241661,812,3980
3,3,0,OLD,20185341,마녀,2018-06-27,700847639,16.7,203571939,40.9,18509083810,79406,18397,30.2,2168975,677,2648
4,4,7,OLD,20180282,속닥속닥,2018-07-13,505635600,12.0,492171600,3655.5,526011600,56855,55174,3282.2,59397,266,1216
5,5,-1,OLD,20174369,변산,2018-07-04,122624469,2.9,3781569,3.2,3213235492,14741,-1272,-7.9,389440,484,1015
6,6,-1,OLD,20178161,탐정: 리턴즈,2018-06-13,50674500,1.2,8159400,19.2,26572315878,6187,640,11.5,3110197,214,393
7,7,1,OLD,20184845,미드나잇 선,2018-06-21,33233900,0.8,7584200,29.6,2059098900,3691,550,17.5,242833,99,170
8,8,-2,OLD,20175221,킬링 디어,2018-07-12,35079900,0.8,-3615900,-9.3,106896600,3608,-944,-20.7,11525,65,160
9,9,-2,OLD,20172469,허스토리,2018-06-27,24473400,0.6,-365300,-1.5,2289734049,3294,-417,-11.2,304514,88,120
10,10,0,OLD,20182564,"오늘 밤, 로맨스 극장에서",2018-07-11,28670000,0.7,4850800,20.4,129867900,3235,216,7.2,15256,142,508
1,1,0,OLD,20180522,앤트맨과 와스프,2018-07-04,4177995884,48.2,2436667292,139.9,34966264757,468418,273420,140.2,3985264,1370,7812
2,2,0,OLD,20181443,스카이스크래퍼,2018-07-11,1730198816,20.0,927462608,115.5,3757330524,193028,102473,113.2,434689,793,3959
3,3,0,OLD,20185341,마녀,2018-06-27,1424735635,16.4,723887996,103.3,19933819445,160607,81201,102.3,2329582,751,2964
4,4,0,OLD,20180282,속닥속닥,2018-07-13,540083000,6.2,34447400,6.8,1066094600,61369,4514,7.9,120766,314,1330
5,5,0,OLD,20174369,변산,2018-07-04,219498881,2.5,96874412,79,3432734373,25708,10967,74.4,415148,475,919
6,6,0,OLD,20178161,탐정: 리턴즈,2018-06-13,95919700,1.1,45245200,89.3,26668235578,11365,5178,83.7,3121562,198,337
7,7,0,OLD,20184845,미드나잇 선,2018-06-21,68386500,0.8,35152600,105.8,2127485400,8762,5071,137.4,251595,136,226
8,8,3,OLD,20185001,빅샤크: 매직체인지,2018-06-27,61851800,0.7,47084900,318.9,858955700,7741,5114,194.7,116191,139,197
9,9,-1,OLD,20175221,킬링 디어,2018-07-12,50994100,0.6,15914200,45.4,157890700,5264,1656,45.9,16789,62,146
10,10,0,OLD,20182564,"오늘 밤, 로맨스 극장에서",2018-07-11,43066700,0.5,14396700,50.2,172934600,4857,1622,50.1,20113,144,422
1,1,0,OLD,20180522,앤트맨과 와스프,2018-07-04,3539390600,46.4,-638605284,-15.3,38505655357,399123,-69295,-14.8,4384387,1355,7527
2,2,0,OLD,20181443,스카이스크래퍼,2018-07-11,1623920600,21.3,-106278216,-6.1,5381251124,181248,-11780,-6.1,615937,791,3872
3,3,0,OLD,20185341,마녀,2018-06-27,1314404000,17.2,-110331635,-7.7,21248223445,147295,-13312,-8.3,2476877,756,2945
4,4,0,OLD,20180282,속닥속닥,2018-07-13,388308900,5.1,-151774100,-28.1,1454403500,43373,-17996,-29.3,164139,298,1284
5,5,0,OLD,20174369,변산,2018-07-04,200669400,2.6,-18829481,-8.6,3633403773,23343,-2365,-9.2,438491,446,843
6,6,0,OLD,20178161,탐정: 리턴즈,2018-06-13,97229700,1.3,1310000,1.4,26765465278,11424,59,0.5,3132986,192,337
7,7,0,OLD,20184845,미드나잇 선,2018-06-21,72192200,0.9,3805700,5.6,2199677600,9246,484,5.5,260841,143,236
8,8,0,OLD,20185001,빅샤크: 매직체인지,2018-06-27,70977300,0.9,9125500,14.8,929933000,8717,976,12.6,124908,148,217
9,9,2,OLD,20185599,꼬마 보트 토토: 타요 타요 배 타요,2018-07-12,37646700,0.5,3615000,10.6,92512300,4751,370,8.4,12245,271,371
10,10,-1,OLD,20175221,킬링 디어,2018-07-12,42733900,0.6,-8260200,-16.2,200624600,4387,-877,-16.7,21176,59,143
1,1,0,OLD,20180522,앤트맨과 와스프,2018-07-04,813894600,37.9,-2725496000,-77,39319549957,99047,-300076,-75.2,4483434,1250,6767
2,2,0,OLD,20181443,스카이스크래퍼,2018-07-11,455476100,21.2,-1168444500,-72,5836727224,56277,-124971,-69,672214,771,3823
3,3,0,OLD,20185341,마녀,2018-06-27,442050200,20.6,-872353800,-66.4,21690273645,54579,-92716,-62.9,2531456,724,2918
4,4,0,OLD,20180282,속닥속닥,2018-07-13,103855200,4.8,-284453700,-73.3,1558258700,12123,-31250,-72,176262,251,1060
5,5,0,OLD,20174369,변산,2018-07-04,82595400,3.8,-118074000,-58.8,3715999173,11089,-12254,-52.5,449580,459,956
6,6,1,OLD,20184845,미드나잇 선,2018-06-21,33687800,1.6,-38504400,-53.3,2233365400,4474,-4772,-51.6,265315,145,237
7,7,-1,OLD,20178161,탐정: 리턴즈,2018-06-13,33033500,1.5,-64196200,-66,26798498778,4349,-7075,-61.9,3137335,200,362
8,8,0,NEW,20181181,미션 임파서블: 폴아웃,2018-07-25,26844000,1.2,26844000,100,26844000,3164,3164,100,3164,8,9
9,9,1,OLD,20175221,킬링 디어,2018-07-12,24100200,1.1,-18633700,-43.6,224724800,2820,-1567,-35.7,23996,62,170
10,10,2,OLD,20172469,허스토리,2018-06-27,14545800,0.7,-13161800,-47.5,2357352249,1996,-1190,-37.4,312755,91,138
1,1,0,OLD,20180522,앤트맨과 와스프,2018-07-04,687582200,35.7,-126312400,-15.5,40007132157,84455,-14592,-14.7,4567889,1260,6634
2,2,1,OLD,20185341,마녀,2018-06-27,412827700,21.4,-29222500,-6.6,22103101345,51203,-3376,-6.2,2582659,728,2938
3,3,-1,OLD,20181443,스카이스크래퍼,2018-07-11,405054100,21.0,-50422000,-11.1,6241781324,50327,-5950,-10.6,722541,777,3797
4,4,1,OLD,20174369,변산,2018-07-04,79567900,4.1,-3027500,-3.7,3795567073,10658,-431,-3.9,460238,466,963
5,5,-1,OLD,20180282,속닥속닥,2018-07-13,80918400,4.2,-22936800,-22.1,1639177100,9619,-2504,-20.7,185881,243,979
6,6,0,OLD,20184845,미드나잇 선,2018-06-21,40436900,2.1,6749100,20,2273802300,5455,981,21.9,270770,151,256
7,7,0,OLD,20178161,탐정: 리턴즈,2018-06-13,34272900,1.8,1239400,3.8,26832771678,4750,401,9.2,3142085,212,375
8,8,2,OLD,20172469,허스토리,2018-06-27,21320500,1.1,6774700,46.6,2378672749,3252,1256,62.9,316007,113,162
9,9,0,OLD,20175221,킬링 디어,2018-07-12,23816600,1.2,-283600,-1.2,248541400,2849,29,1,26845,68,173
10,10,2,OLD,20167904,라라랜드,2016-12-07,15008900,0.8,1497200,11.1,29901270694,2154,216,11.1,3582015,60,83
1,1,11,OLD,20183361,인크레더블 2,2018-07-18,1006229800,35.8,996495800,10237.3,1074993800,122594,121542,11553.4,128869,1179,5490
2,2,-1,OLD,20180522,앤트맨과 와스프,2018-07-04,611373800,21.7,-76208400,-11.1,40618505957,76147,-8308,-9.8,4644036,874,4018
3,3,-1,OLD,20185341,마녀,2018-06-27,397974500,14.2,-14853200,-3.6,22501075845,49738,-1465,-2.9,2632397,582,2093
4,4,-1,OLD,20181443,스카이스크래퍼,2018-07-11,279073400,9.9,-125980700,-31.1,6520854724,35234,-15093,-30,757775,609,2133
5,5,0,NEW,20188042,독전: 익스텐디드 컷,2018-07-18,123546900,4.4,123546900,100,123546900,19998,19998,100,19998,251,471
6,6,20,OLD,20185621,호텔 아르테미스,2018-07-18,132917700,4.7,130559700,5536.9,136949700,16931,16669,6362.2,17379,465,1488
7,7,-2,OLD,20180282,속닥속닥,2018-07-13,44549800,1.6,-36368600,-44.9,1683726900,5304,-4315,-44.9,191185,184,482
8,8,-4,OLD,20174369,변산,2018-07-04,31667600,1.1,-47900300,-60.2,3827234673,4589,-6069,-56.9,464827,165,246
9,9,-3,OLD,20184845,미드나잇 선,2018-06-21,31571100,1.1,-8865800,-21.9,2305373400,4317,-1138,-20.9,275087,115,155
10,10,-1,OLD,20175221,킬링 디어,2018-07-12,19680000,0.7,-4136600,-17.4,268221400,2346,-503,-17.7,29191,47,122
1,1,0,OLD,20183361,인크레더블 2,2018-07-18,926348900,35.8,-79880900,-7.9,2001342700,113895,-8699,-7.1,242764,1190,5405
2,2,0,OLD,20180522,앤트맨과 와스프,2018-07-04,536935400,20.8,-74438400,-12.2,41155441357,66591,-9556,-12.5,4710627,861,3874
3,3,0,OLD,20185341,마녀,2018-06-27,376008400,14.5,-21966100,-5.5,22877084245,47058,-2680,-5.4,2679455,591,2023
4,4,0,OLD,20181443,스카이스크래퍼,2018-07-11,232853700,9.0,-46219700,-16.6,6753708424,29197,-6037,-17.1,786972,595,1943
5,5,0,OLD,20188042,독전: 익스텐디드 컷,2018-07-18,90630100,3.5,-32916800,-26.6,214177000,14829,-5169,-25.8,34827,303,592
6,6,0,OLD,20185621,호텔 아르테미스,2018-07-18,85947100,3.3,-46970600,-35.3,222896800,10844,-6087,-36,28223,451,1356
7,7,36,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,58901800,2.3,58110800,7346.5,117993600,8177,8052,6441.6,16000,167,324
8,8,0,NEW,20186282,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,43197100,1.7,43197100,100,67422400,5227,5227,100,8151,121,359
9,9,0,OLD,20184845,미드나잇 선,2018-06-21,32284400,1.2,713300,2.3,2337657800,4502,185,4.3,279589,125,158
10,10,-3,OLD,20180282,속닥속닥,2018-07-13,31595200,1.2,-12954600,-29.1,1715322100,3846,-1458,-27.5,195031,169,395
1,1,0,OLD,20183361,인크레더블 2,2018-07-18,1461992222,37.5,535643322,57.8,3463334922,164820,50925,44.7,407584,1228,5668
2,2,0,OLD,20180522,앤트맨과 와스프,2018-07-04,870420978,22.3,333485578,62.1,42025862335,98563,31972,48,4809190,868,3936
3,3,0,OLD,20185341,마녀,2018-06-27,619524367,15.9,243515967,64.8,23496608612,71362,24304,51.6,2750817,648,2256
4,4,0,OLD,20181443,스카이스크래퍼,2018-07-11,332144255,8.5,99290555,42.6,7085852679,38283,9086,31.1,825255,607,1941
5,5,0,OLD,20188042,독전: 익스텐디드 컷,2018-07-18,114106600,2.9,23476500,25.9,328283600,18465,3636,24.5,53292,347,750
6,6,0,OLD,20185621,호텔 아르테미스,2018-07-18,100780000,2.6,14832900,17.3,323676800,11448,604,5.6,39671,448,1260
7,7,2,OLD,20184845,미드나잇 선,2018-06-21,50303000,1.3,18018600,55.8,2387960800,6858,2356,52.3,286447,147,200
8,8,2,OLD,20180282,속닥속닥,2018-07-13,55576700,1.4,23981500,75.9,1770898800,6655,2809,73,201686,167,366
9,9,-2,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,43871900,1.1,-15029900,-25.5,161865500,5278,-2899,-35.5,21278,161,316
10,10,-2,OLD,20186282,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,45194000,1.2,1996900,4.6,112616400,5049,-178,-3.4,13200,117,339
1,1,0,OLD,20183361,인크레더블 2,2018-07-18,4093763690,48.1,2631771468,180,7557098612,477129,312309,189.5,884713,1550,7149
2,2,0,OLD,20180522,앤트맨과 와스프,2018-07-04,1879313610,22.1,1008892632,115.9,43905175945,211982,113419,115.1,5021172,897,3848
3,3,0,OLD,20185341,마녀,2018-06-27,1133384451,13.3,513860084,82.9,24629993063,127555,56193,78.7,2878372,750,2482
4,4,0,OLD,20181443,스카이스크래퍼,2018-07-11,579418639,6.8,247274384,74.4,7665271318,65048,26765,69.9,890303,606,1606
5,5,0,OLD,20188042,독전: 익스텐디드 컷,2018-07-18,186580800,2.2,72474200,63.5,514864400,30294,11829,64.1,83586,398,900
6,6,0,OLD,20185621,호텔 아르테미스,2018-07-18,117280100,1.4,16500100,16.4,440956900,13326,1878,16.4,52997,448,905
7,7,0,OLD,20184845,미드나잇 선,2018-06-21,74188900,0.9,23885900,47.5,2462149700,10101,3243,47.3,296548,156,236
8,8,1,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,70798100,0.8,26926200,61.4,232663600,8176,2898,54.9,29454,179,308
9,9,1,OLD,20186282,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,54465700,0.6,9271700,20.5,167082100,6075,1026,20.3,19275,112,263
10,10,-2,OLD,20180282,속닥속닥,2018-07-13,50632600,0.6,-4944100,-8.9,1821531400,6037,-618,-9.3,207723,158,267
1,1,0,OLD,20183361,인크레더블 2,2018-07-18,4095193500,50.4,1429810,0,11652292112,479789,2660,0.6,1364502,1605,7112
2,2,0,OLD,20180522,앤트맨과 와스프,2018-07-04,1604568900,19.8,-274744710,-14.6,45509744845,181723,-30259,-14.3,5202895,873,3688
3,3,0,OLD,20185341,마녀,2018-06-27,1090795500,13.4,-42588951,-3.8,25720788563,121909,-5646,-4.4,3000281,757,2458
4,4,0,OLD,20181443,스카이스크래퍼,2018-07-11,545193900,6.7,-34224739,-5.9,8210465218,61385,-3663,-5.6,951688,628,1567
5,5,0,OLD,20188042,독전: 익스텐디드 컷,2018-07-18,171219700,2.1,-15361100,-8.2,686084100,27942,-2352,-7.8,111528,379,854
6,6,0,OLD,20185621,호텔 아르테미스,2018-07-18,106746600,1.3,-10533500,-9,547703500,11953,-1373,-10.3,64950,445,863
7,7,1,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,95129300,1.2,24331200,34.4,327792900,11215,3039,37.2,40669,176,301
8,8,-1,OLD,20184845,미드나잇 선,2018-06-21,73124700,0.9,-1064200,-1.4,2535274400,10099,-2,0,306647,154,236
9,9,0,OLD,20186282,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,46974400,0.6,-7491300,-13.8,214056500,5235,-840,-13.8,24510,117,237
10,10,0,OLD,20180282,속닥속닥,2018-07-13,40986100,0.5,-9646500,-19.1,1862517500,4784,-1253,-20.8,212507,146,243
1,1,0,OLD,20183361,인크레더블 2,2018-07-18,919633500,39.0,-3175560000,-77.5,12571925612,114940,-364849,-76,1479442,1273,5805
2,2,0,OLD,20180522,앤트맨과 와스프,2018-07-04,463289600,19.7,-1141279300,-71.1,45973034445,57663,-124060,-68.3,5260558,831,3690
3,3,0,OLD,20185341,마녀,2018-06-27,410781900,17.4,-680013600,-62.3,26131570463,51378,-70531,-57.9,3051659,691,2579
4,4,0,OLD,20181443,스카이스크래퍼,2018-07-11,180617700,7.7,-364576200,-66.9,8391082918,22790,-38595,-62.9,974478,586,1702
5,5,0,OLD,20188042,독전: 익스텐디드 컷,2018-07-18,67857000,2.9,-103362700,-60.4,753941100,11244,-16698,-59.8,122772,349,847
6,6,0,OLD,20185621,호텔 아르테미스,2018-07-18,47348800,2.0,-59397800,-55.6,595052300,6113,-5840,-48.9,71063,418,908
7,7,1,OLD,20184845,미드나잇 선,2018-06-21,42170300,1.8,-30954400,-42.3,2577444700,5919,-4180,-41.4,312566,142,250
8,8,-1,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,36334100,1.5,-58795200,-61.8,364127000,4802,-6413,-57.2,45471,162,305
9,9,0,NEW,20170942,인랑,2018-07-25,34397300,1.5,34397300,100,58707300,3791,3791,100,6222,17,17
10,10,-1,OLD,20186282,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,24386400,1.0,-22588000,-48.1,238442900,3004,-2231,-42.6,27514,114,279
1,1,0,OLD,20183361,인크레더블 2,2018-07-18,868434800,36.1,-51198700,-5.6,13440360412,110999,-3941,-3.4,1590441,1300,5761
2,2,0,OLD,20180522,앤트맨과 와스프,2018-07-04,421627900,17.5,-41661700,-9,46394662345,53359,-4304,-7.5,5313917,850,3632
3,3,0,OLD,20185341,마녀,2018-06-27,392066500,16.3,-18715400,-4.6,26523636963,49582,-1796,-3.5,3101241,697,2568
4,4,0,OLD,20181443,스카이스크래퍼,2018-07-11,170124900,7.1,-10492800,-5.8,8561207818,21621,-1169,-5.1,996099,602,1692
5,5,4,OLD,20170942,인랑,2018-07-25,135093600,5.6,100696300,292.7,193800900,13444,9653,254.6,19666,69,69
6,6,-1,OLD,20188042,독전: 익스텐디드 컷,2018-07-18,63528300,2.6,-4328700,-6.4,817469400,10570,-674,-6,133342,344,826
7,7,0,OLD,20184845,미드나잇 선,2018-06-21,45380000,1.9,3209700,7.6,2622824700,6429,510,8.6,318995,150,246
8,8,0,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,41926900,1.7,5592800,15.4,406053900,5620,818,17,51091,159,316
9,9,-3,OLD,20185621,호텔 아르테미스,2018-07-18,41232800,1.7,-6116000,-12.9,636285100,5369,-744,-12.2,76432,401,851
10,10,0,NEW,20186202,신과함께-인과 연,2018-08-01,32247000,1.3,32247000,100,35185000,3644,3644,100,4050,10,14
1,1,0,NEW,20181181,미션 임파서블: 폴아웃,2018-07-25,3905685200,57.4,3905685200,100,3937889200,601935,601935,100,605662,1717,7457
2,2,3,OLD,20170942,인랑,2018-07-25,1692595700,24.9,1557502100,1152.9,1886396600,274510,261066,1941.9,294176,1085,4503
3,3,-2,OLD,20183361,인크레더블 2,2018-07-18,603573500,8.9,-264861300,-30.5,14043933912,96978,-14021,-12.6,1687419,764,2149
4,4,30,OLD,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,244738500,3.6,242938500,13496.6,261244500,36633,36433,18216.5,38467,559,985
5,5,-3,OLD,20180522,앤트맨과 와스프,2018-07-04,128262000,1.9,-293365900,-69.6,46522924345,20327,-33032,-61.9,5334244,379,715
6,6,-3,OLD,20185341,마녀,2018-06-27,91393900,1.3,-300672600,-76.7,26615030863,14300,-35282,-71.2,3115541,319,563
7,7,1,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,13954700,0.2,-27972200,-66.7,420008600,2070,-3550,-63.2,53161,92,115
8,8,5,OLD,20175221,킬링 디어,2018-07-12,12061200,0.2,-1933300,-13.8,420664500,1992,0,0,47144,36,99
9,9,-2,OLD,20184845,미드나잇 선,2018-06-21,11170300,0.2,-34209700,-75.4,2633995000,1741,-4688,-72.9,320736,40,60
10,10,6,OLD,20187682,해적왕 작스톰,2018-07-25,10477900,0.2,-1955100,-15.7,22910900,1267,-120,-8.7,2654,42,46
1,1,0,OLD,20181181,미션 임파서블: 폴아웃,2018-07-25,3193397600,59.9,-712287600,-18.2,7131286800,389360,-212575,-35.3,995022,1656,7513
2,2,0,OLD,20170942,인랑,2018-07-25,795441000,14.9,-897154700,-53,2681837600,101715,-172795,-62.9,395891,1029,4270
3,3,0,OLD,20183361,인크레더블 2,2018-07-18,638018300,12.0,34444800,5.7,14681952212,85590,-11388,-11.7,1773009,767,2315
4,4,0,OLD,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,263586200,4.9,18847700,7.7,524830700,37938,1305,3.6,76405,587,1127
5,5,0,OLD,20180522,앤트맨과 와스프,2018-07-04,108531300,2.0,-19730700,-15.4,46631455645,13624,-6703,-33,5347868,354,664
6,6,0,OLD,20185341,마녀,2018-06-27,76941200,1.4,-14452700,-15.8,26691972063,9648,-4652,-32.5,3125189,279,505
7,7,0,NEW,20186202,신과함께-인과 연,2018-08-01,68400100,1.3,68400100,100,103585100,7629,7629,100,11679,42,42
8,8,65,OLD,20186121,어느 가족,2018-07-26,53787400,1.0,53522400,20197.1,75891400,7067,7031,19530.6,9728,117,261
9,9,-2,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,20835900,0.4,6881200,49.3,440844500,2833,763,36.9,55994,104,127
10,10,0,NEW,20181942,맘마미아!2,2018-08-08,24534000,0.5,24534000,100,36102000,2726,2726,100,4008,9,9
1,1,0,OLD,20181181,미션 임파서블: 폴아웃,2018-07-25,4187036980,64.3,993639380,31.1,11318323780,460648,71288,18.3,1455670,1761,8038
2,2,1,OLD,20183361,인크레더블 2,2018-07-18,833774420,12.8,195756120,30.7,15515726632,101879,16289,19,1874888,867,2528
3,3,-1,OLD,20170942,인랑,2018-07-25,778547050,12.0,-16893950,-2.1,3460384650,88857,-12858,-12.6,484748,977,3838
4,4,0,OLD,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,334843200,5.1,71257000,27,859673900,43498,5560,14.7,119903,650,1323
5,5,0,OLD,20180522,앤트맨과 와스프,2018-07-04,131458670,2.0,22927370,21.1,46762914315,15099,1475,10.8,5362967,350,630
6,6,0,OLD,20185341,마녀,2018-06-27,87176200,1.3,10235000,13.3,26779148263,9927,279,2.9,3135116,263,472
7,7,1,OLD,20186121,어느 가족,2018-07-26,56042100,0.9,2254700,4.2,131933500,6541,-526,-7.4,16269,115,249
8,8,1,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,16029200,0.2,-4806700,-23.1,456873700,1925,-908,-32.1,57919,92,112
9,9,2,OLD,20175221,킬링 디어,2018-07-12,8166000,0.1,1945000,31.3,435051500,1115,244,28,49130,32,52
10,10,3,OLD,20110027,아이 엠 러브,2011-01-20,7756173,0.1,1473773,23.5,298436361,1011,160,18.8,37918,26,40
1,1,0,OLD,20181181,미션 임파서블: 폴아웃,2018-07-25,3538292800,60.5,-4611375000,-56.6,31536604754,432636,-469882,-52.1,3732215,1861,8628
2,2,0,OLD,20183361,인크레더블 2,2018-07-18,1019260500,17.4,-594073100,-36.8,19764688458,138068,-56225,-28.9,2402293,938,2960
3,3,1,OLD,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,458460600,7.8,-288665300,-38.6,2875030800,65555,-29407,-31,384488,682,1676
4,4,-1,OLD,20170942,인랑,2018-07-25,424181000,7.3,-725186100,-63.1,6324497006,53845,-75669,-58.4,813160,712,2501
5,5,0,OLD,20180522,앤트맨과 와스프,2018-07-04,125691200,2.1,-51181400,-28.9,47251508585,15919,-4552,-22.2,5420900,375,652
6,6,0,OLD,20185341,마녀,2018-06-27,89940400,1.5,-35717700,-28.4,27126862863,10961,-3117,-22.1,3174879,265,450
7,7,0,OLD,20186121,어느 가족,2018-07-26,64098600,1.1,-46681000,-42.1,395868200,8189,-3992,-32.8,46771,122,273
8,8,0,NEW,20186202,신과함께-인과 연,2018-08-01,36423000,0.6,36423000,100,140382100,4005,4005,100,15718,14,15
9,9,-1,OLD,20186001,신은 죽지 않았다 3: 어둠 속의 빛,2018-07-19,13505500,0.2,-11461700,-45.9,513214100,1705,-1422,-45.5,64752,81,96
10,10,7,OLD,20186501,극장판 헬로카봇 : 백악기 시대,2018-08-01,8201000,0.1,3377000,70,44713000,902,500,124.4,4262,5,5
1,1,0,OLD,20186202,신과함께-인과 연,2018-08-01,8458786450,68.0,-1226023550,-12.7,18332974550,1078012,-168591,-13.5,2346364,2054,10079
2,2,0,OLD,20181181,미션 임파서블: 폴아웃,2018-07-25,2029874300,16.3,-61394200,-2.9,38936347554,249826,-8735,-3.4,4644299,975,3600
3,3,0,OLD,20186501,극장판 헬로카봇 : 백악기 시대,2018-08-01,900793500,7.2,-244384000,-21.3,2092884000,127108,-35134,-21.7,293832,758,1825
4,4,0,OLD,20183361,인크레더블 2,2018-07-18,539236200,4.3,-21522100,-3.8,21867007258,74011,-2939,-3.8,2690277,579,1256
5,5,0,OLD,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,258846100,2.1,-14614800,-5.3,3830241400,37195,-2287,-5.8,522162,477,734
6,6,0,OLD,20186121,어느 가족,2018-07-26,48965400,0.4,699200,1.4,562686900,6239,47,0.8,68148,63,167
7,7,0,OLD,20170942,인랑,2018-07-25,38337600,0.3,-9164100,-19.3,6797927706,4966,-1106,-18.2,874123,232,332
8,8,8,OLD,20179101,공작,2018-08-08,40394000,0.3,37055000,1109.8,73014000,4348,3977,1072,7970,6,8
9,9,0,NEW,20153446,너의 결혼식,2018-08-22,28190000,0.2,28190000,100,33830000,2819,2819,100,3759,13,13
10,10,3,OLD,20181942,맘마미아!2,2018-08-08,23256000,0.2,18796000,421.4,102631000,2584,2085,417.8,11776,11,11
